,,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Trey Hopkins\HopkTr01,C,69,100%,0,0%,5,15%
Jonah Williams\WillJo10,T,69,100%,0,0%,5,15%
Riley Reiff\ReifRi00,T,69,100%,0,0%,5,15%
Quinton Spain\SpaiQu00,G,69,100%,0,0%,5,15%
Xavier Su'a-Filo\Sua-Xa00,G,69,100%,0,0%,5,15%
Joe Burrow\BurrJo01,QB,69,100%,0,0%,0,0%
Ja'Marr Chase\ChasJa00,WR,62,90%,0,0%,0,0%
Joe Mixon\MixoJo00,RB,54,78%,0,0%,0,0%
C.J. Uzomah\UzomC.00,TE,51,74%,0,0%,5,15%
Tee Higgins\HiggTe00,WR,51,74%,0,0%,0,0%
Tyler Boyd\BoydTy00,WR,51,74%,0,0%,0,0%
Drew Sample\SampDr00,TE,35,51%,0,0%,11,32%
Mike Thomas\ThomMi04,WR,16,23%,0,0%,8,24%
Samaje Perine\PeriSa00,RB,15,22%,0,0%,17,50%
Auden Tate\TateAu00,WR,8,12%,0,0%,5,15%
Mitchell Wilcox\WilcMi01,TE,1,1%,0,0%,17,50%
Isaiah Prince\PrinIs00,T,1,1%,0,0%,0,0%
Vonn Bell\BellVo00,SS,0,0%,83,100%,4,12%
Chidobe Awuzie\AwuzCh00,CB,0,0%,83,100%,4,12%
Jessie Bates III\BateJe00,FS,0,0%,82,99%,4,12%
Eli Apple\ApplEl00,CB,0,0%,82,99%,4,12%
Logan Wilson\WilsLo00,LB,0,0%,72,87%,11,32%
Sam Hubbard\HubbSa00,DE,0,0%,72,87%,4,12%
Trey Hendrickson\HendTr00,DE,0,0%,68,82%,4,12%
Mike Hilton\HiltMi01,CB,0,0%,66,80%,0,0%
Larry Ogunjobi\OgunLa00,DT,0,0%,59,71%,4,12%
D.J. Reader\ReadD.00,NT,0,0%,48,58%,4,12%
Germaine Pratt\PratGe00,LB,0,0%,37,45%,17,50%
Cameron Sample\SampCa00,DE,0,0%,29,35%,5,15%
Josh Tupou\TupoJo00,NT,0,0%,28,34%,0,0%
B.J. Hill\HillB.00,DT,0,0%,24,29%,4,12%
Ricardo Allen\AlleRi00,SS,0,0%,21,25%,19,56%
Jordan Evans\EvanJo01,LB,0,0%,16,19%,29,85%
Akeem Davis-Gaither\DaviAk01,LB,0,0%,16,19%,25,74%
Wyatt Ray\RayxWy01,DE,0,0%,12,14%,1,3%
Darius Phillips\PhilDa02,CB,0,0%,7,8%,13,38%
Markus Bailey\BailMa01,LB,0,0%,4,5%,24,71%
Jalen Davis\DaviJa06,CB,0,0%,2,2%,9,26%
Darius Hodge\HodgDa01,DE,0,0%,1,1%,0,0%
Stanley Morgan Jr.\MorgSt02,WR,0,0%,0,0%,25,74%
Brandon Wilson\WilsBr01,FS,0,0%,0,0%,25,74%
Clark Harris\HarrCl20,LS,0,0%,0,0%,12,35%
Kevin Huber\HubeKe20,P,0,0%,0,0%,12,35%
Evan McPherson\McPhEv00,K,0,0%,0,0%,10,29%
Chris Evans\EvanCh02,RB,0,0%,0,0%,8,24%
Jackson Carman\CarmJa00,G,0,0%,0,0%,5,15%