,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,25,21,4,.840,5.18,-8.11,,13,2,,13,0,,5,4,,1924,1518,,1000,686,1500,.457,194,563,.345,358,539,.664,282,892,450,245,79,348,497
2,Air Force,24,5,19,.208,-12.26,0.32,,3,17,,3,8,,1,10,,1416,1718,,960,500,1119,.447,172,509,.338,244,351,.695,109,563,294,168,55,348,402
3,Akron,21,14,7,.667,2.88,-1.33,,12,6,,9,1,,5,5,,1650,1512,,845,573,1280,.448,204,605,.337,300,396,.758,237,815,285,110,76,255,380
4,Alabama A&M,15,6,9,.400,-18.99,-15.12,,4,9,,5,2,,1,7,,950,1008,,610,347,868,.400,83,286,.290,173,276,.627,160,577,165,82,54,229,273
5,Alabama-Birmingham,27,21,6,.778,6.12,-3.92,,13,5,,15,2,,6,4,,1972,1624,,1080,735,1619,.454,137,447,.306,365,526,.694,284,992,289,218,112,286,416
6,Alabama State,18,4,14,.222,-24.45,-17.12,,4,14,,3,6,,1,8,,1156,1288,,720,383,1009,.380,111,350,.317,279,431,.647,205,653,175,110,43,291,343
7,Alabama,27,21,6,.778,19.55,10.26,,16,2,,12,1,,7,3,,2149,1898,,1080,744,1728,.431,288,812,.355,373,522,.715,325,1088,381,234,112,385,506
8,Albany (NY),16,7,9,.438,-3.62,-4.31,,6,6,,4,5,,2,4,,1110,1099,,640,395,883,.447,102,303,.337,218,301,.724,110,480,187,98,29,201,285
9,Alcorn State,18,6,12,.333,-19.11,-10.33,,6,7,,4,3,,2,9,,1201,1359,,720,415,1043,.398,107,350,.306,264,358,.737,192,572,163,137,30,258,376
10,American,10,4,6,.400,-2.96,1.54,,4,5,,2,2,,2,4,,691,736,,420,248,557,.445,90,238,.378,105,149,.705,78,326,128,73,47,158,193
11,Appalachian State,28,17,11,.607,-5.08,-4.99,,7,8,,9,4,,4,7,,1986,1806,,1145,674,1626,.415,227,701,.324,411,558,.737,307,1007,333,225,97,329,386
12,Arizona State,23,10,13,.435,5.57,8.01,,7,10,,7,6,,2,6,,1721,1777,,930,604,1395,.433,167,497,.336,346,475,.728,185,735,299,162,79,249,446
13,Arizona,26,17,9,.654,12.90,6.05,,11,9,,12,4,,5,5,,1961,1783,,1050,667,1492,.447,174,468,.372,453,623,.727,305,997,403,152,104,309,463
14,Little Rock,26,11,15,.423,-6.01,-5.05,,7,11,,7,4,,2,8,,1786,1782,,1050,638,1401,.455,147,472,.311,363,517,.702,261,898,354,165,86,392,415
15,Arkansas-Pine Bluff,24,4,20,.167,-22.57,-7.57,,3,12,,2,3,,2,17,,1487,1847,,970,504,1303,.387,118,381,.310,361,502,.719,232,778,227,154,92,382,440
16,Arkansas State,24,11,13,.458,-7.66,-5.57,,7,8,,9,3,,1,9,,1741,1667,,965,621,1390,.447,154,402,.383,345,478,.722,265,892,347,158,68,313,385
17,Arkansas,26,21,5,.808,18.54,5.89,,13,4,,16,1,,5,4,,2166,1837,,1045,773,1694,.456,209,608,.344,411,552,.745,310,1041,390,212,134,332,438
18,Army,20,12,8,.600,5.05,4.94,,7,7,,5,4,,5,3,,1448,1385,,805,539,1167,.462,163,481,.339,207,329,.629,164,701,295,128,30,258,312
19,Auburn,27,13,14,.481,10.49,9.74,,7,11,,8,5,,3,8,,2084,2064,,1090,711,1628,.437,245,751,.326,417,589,.708,348,1063,400,168,163,438,482
20,Austin Peay,27,14,13,.519,-6.16,-7.72,,10,10,,8,5,,4,6,,2007,1890,,1090,733,1617,.453,194,573,.339,347,462,.751,341,931,357,183,54,397,472
21,Ball State,22,10,12,.455,-1.15,-0.47,,8,9,,7,4,,3,8,,1630,1645,,885,581,1309,.444,185,542,.341,283,379,.747,213,804,309,121,52,316,416
22,Baylor,22,21,1,.955,24.92,5.19,,13,1,,11,0,,7,1,,1877,1443,,885,691,1389,.497,233,543,.429,262,382,.686,282,804,384,202,82,265,375
23,Bellarmine,20,13,7,.650,-1.81,-6.09,,10,3,,6,4,,7,2,,1486,1307,,800,562,1091,.515,128,341,.375,234,314,.745,159,608,316,143,42,222,307
24,Belmont,30,26,4,.867,4.05,-8.13,,18,2,,11,1,,10,2,,2439,2074,,1205,894,1829,.489,271,787,.344,380,515,.738,264,1072,547,232,87,361,438
25,Binghamton,18,4,14,.222,-11.37,-4.48,,4,10,,1,9,,3,5,,1178,1302,,735,430,1039,.414,156,472,.331,162,241,.672,191,642,199,90,55,250,307
26,Boise State,25,18,7,.720,10.18,0.77,,14,6,,11,1,,6,6,,1899,1636,,1005,667,1471,.453,192,564,.340,373,502,.743,234,899,336,165,73,287,422
27,Boston College,19,4,15,.211,3.15,9.88,,2,11,,3,5,,0,7,,1376,1504,,765,482,1140,.423,179,531,.337,233,331,.704,171,636,224,135,77,254,311
28,Boston University,18,7,11,.389,1.12,5.67,,6,10,,2,6,,5,5,,1249,1331,,720,451,1034,.436,125,392,.319,222,296,.750,181,636,184,98,53,223,305
29,Bowling Green State,24,14,10,.583,1.63,-1.11,,10,8,,4,7,,10,3,,1896,1812,,970,675,1594,.423,204,621,.329,342,463,.739,300,917,310,178,49,249,409
30,Bradley,28,12,16,.429,0.80,1.65,,6,12,,8,6,,2,9,,1948,1864,,1130,736,1636,.450,192,603,.318,284,393,.723,284,1033,382,144,98,346,455
31,Brigham Young,25,20,5,.800,14.68,5.18,,10,3,,11,2,,7,2,,1969,1692,,1015,720,1490,.483,222,588,.378,307,420,.731,239,990,417,119,71,338,447
32,Brown,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
33,Bryant,20,15,5,.750,1.50,-5.87,,10,4,,10,0,,5,5,,1693,1498,,800,584,1235,.473,190,490,.388,335,445,.753,214,811,320,138,70,313,327
34,Bucknell,11,5,6,.455,-3.50,-3.59,,4,6,,2,3,,3,3,,824,823,,440,282,618,.456,80,239,.335,180,234,.769,71,374,132,64,36,142,195
35,Buffalo,21,14,7,.667,8.31,-1.34,,12,5,,8,3,,5,3,,1737,1527,,845,658,1413,.466,144,442,.326,277,407,.681,309,926,348,177,86,290,382
36,Butler,23,9,14,.391,6.37,10.67,,8,12,,8,4,,1,9,,1462,1561,,930,526,1276,.412,163,506,.322,247,386,.640,207,747,284,126,46,265,383
37,Cal Poly,22,3,19,.136,-15.81,-2.72,,1,15,,3,8,,0,11,,1339,1560,,885,473,1206,.392,137,447,.306,256,358,.715,175,715,268,135,79,312,408
38,Cal State Bakersfield,25,15,10,.600,-1.11,-3.55,,11,7,,9,2,,6,8,,1755,1607,,1005,659,1479,.446,143,403,.355,294,411,.715,339,933,354,161,77,320,482
39,Cal State Fullerton,15,6,9,.400,-6.75,-3.60,,5,9,,5,4,,1,5,,1150,1170,,605,403,886,.455,118,306,.386,226,304,.743,125,490,206,99,31,195,255
40,Cal State Northridge,21,9,12,.429,-8.88,-2.93,,5,9,,4,7,,4,4,,1523,1624,,845,540,1254,.431,165,473,.349,278,387,.718,194,699,286,135,45,248,366
41,California Baptist,22,13,9,.591,-5.46,-6.18,,6,6,,11,4,,2,5,,1754,1591,,885,613,1283,.478,209,528,.396,319,434,.735,215,821,393,112,53,295,436
42,UC-Davis,16,9,7,.563,-7.50,-6.63,,7,5,,4,3,,4,3,,1182,1162,,655,404,921,.439,95,286,.332,279,356,.784,150,519,174,125,45,230,324
43,UC-Irvine,24,16,8,.667,2.33,-2.22,,13,4,,10,1,,6,6,,1751,1521,,970,663,1464,.453,119,352,.338,306,407,.752,283,968,298,187,93,316,399
44,UC-Riverside,20,13,7,.650,3.52,-4.03,,10,5,,5,4,,7,3,,1421,1270,,810,527,1158,.455,186,489,.380,181,261,.693,175,742,286,103,48,246,348
45,UC-San Diego,17,7,10,.412,-8.00,-0.07,,4,10,,7,3,,0,7,,1214,1226,,685,447,973,.459,188,500,.376,132,207,.638,99,501,294,116,37,225,232
46,UC-Santa Barbara,23,19,4,.826,6.11,-3.80,,15,3,,11,0,,8,4,,1744,1428,,930,637,1310,.486,158,446,.354,312,420,.743,217,809,389,173,69,257,376
47,University of California,27,8,19,.296,1.39,7.20,,3,17,,6,8,,1,11,,1763,1889,,1080,615,1437,.428,188,580,.324,345,498,.693,221,856,326,120,60,344,476
48,Campbell,27,17,10,.630,-6.13,-6.65,,11,6,,9,3,,6,7,,1917,1840,,1095,699,1409,.496,195,520,.375,324,478,.678,165,767,387,165,61,327,459
49,Canisius,13,7,6,.538,-7.48,-6.71,,7,5,,3,1,,4,4,,915,925,,520,321,786,.408,97,327,.297,176,248,.710,130,450,165,73,46,156,234
50,Central Arkansas,24,5,19,.208,-14.65,-1.78,,4,12,,4,5,,1,14,,1701,1933,,960,606,1388,.437,170,468,.363,319,445,.717,246,889,322,121,64,419,433
51,Central Connecticut State,21,5,16,.238,-13.10,-4.24,,5,13,,3,6,,2,9,,1439,1625,,840,522,1230,.424,150,463,.324,245,349,.702,179,664,270,145,54,298,359
52,Central Florida,21,10,11,.476,6.12,8.64,,8,10,,6,3,,4,8,,1412,1465,,845,497,1153,.431,167,463,.361,251,341,.736,197,694,255,143,65,310,358
53,Central Michigan,23,7,16,.304,-11.18,-3.03,,3,13,,5,7,,2,9,,1766,1835,,920,631,1417,.445,152,462,.329,352,523,.673,241,833,246,188,67,307,396
54,Charleston Southern,21,3,18,.143,-15.99,-5.49,,2,15,,1,9,,2,8,,1375,1550,,845,480,1182,.406,160,506,.316,255,357,.714,214,778,217,129,80,346,385
55,Charlotte,24,9,15,.375,-4.93,-1.97,,5,11,,6,7,,3,8,,1525,1596,,985,528,1207,.437,138,424,.325,331,454,.729,163,741,274,133,70,325,350
56,Chattanooga,26,18,8,.692,-1.00,-2.37,,9,7,,9,3,,9,4,,1888,1801,,1050,667,1522,.438,218,607,.359,336,429,.783,217,881,319,178,48,289,370
57,Chicago State,9,0,9,.000,-31.36,1.86,,0,0,,0,0,,0,7,,499,798,,360,180,497,.362,51,203,.251,88,126,.698,54,234,89,49,13,140,178
58,Cincinnati,20,10,10,.500,4.62,6.67,,8,6,,5,5,,5,5,,1397,1438,,800,503,1167,.431,142,456,.311,249,378,.659,205,717,300,133,71,290,391
59,Citadel,25,13,12,.520,-5.49,-0.87,,5,11,,11,3,,1,8,,2019,1959,,1000,708,1566,.452,256,720,.356,347,495,.701,237,944,389,136,108,302,405
60,Clemson,22,16,6,.727,14.10,10.51,,10,6,,11,1,,2,5,,1438,1359,,885,518,1215,.426,180,532,.338,222,292,.760,192,726,290,135,63,277,347
61,Cleveland State,25,18,7,.720,-4.10,-4.58,,16,4,,9,2,,8,5,,1778,1766,,1025,648,1444,.449,163,505,.323,319,475,.672,271,871,343,174,58,327,483
62,Coastal Carolina,23,16,7,.696,-1.92,-7.92,,9,5,,12,1,,3,5,,1836,1535,,925,652,1419,.459,202,559,.361,330,452,.730,316,1005,356,195,96,344,380
63,Colgate,13,12,1,.923,19.09,1.93,,11,1,,6,1,,6,0,,1105,882,,525,400,809,.494,111,296,.375,194,265,.732,119,517,219,92,46,133,209
64,College of Charleston,19,9,10,.474,-4.08,-2.26,,6,4,,8,6,,1,3,,1341,1329,,780,481,1066,.451,158,422,.374,221,311,.711,156,623,201,100,53,197,324
65,Colorado State,22,17,5,.773,9.19,-0.81,,14,4,,10,1,,6,4,,1669,1447,,880,572,1187,.482,195,530,.368,330,414,.797,160,768,334,121,54,311,381
66,Colorado,27,20,7,.741,17.47,6.73,,14,6,,11,1,,6,6,,1990,1700,,1080,703,1537,.457,203,554,.366,381,457,.834,257,947,369,144,77,303,442
67,Columbia,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
68,Connecticut,20,14,6,.700,16.34,9.19,,11,6,,7,3,,6,3,,1446,1303,,805,528,1189,.444,137,398,.344,253,349,.725,257,753,257,124,107,242,385
69,Coppin State,21,9,12,.429,-11.44,-5.82,,8,4,,5,3,,4,9,,1541,1659,,840,509,1236,.412,188,611,.308,335,535,.626,158,759,272,182,68,328,372
70,Cornell,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
71,Creighton,25,18,7,.720,18.04,8.68,,14,6,,11,3,,7,4,,1961,1727,,1010,722,1498,.482,245,666,.368,272,418,.651,205,896,404,181,90,275,385
72,Dartmouth,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
73,Davidson,21,13,8,.619,10.71,4.11,,7,4,,7,4,,4,2,,1518,1336,,845,550,1162,.473,209,570,.367,209,305,.685,190,734,318,108,54,226,312
74,Dayton,23,14,9,.609,7.59,5.07,,9,7,,8,3,,4,6,,1614,1556,,945,567,1189,.477,185,495,.374,295,410,.720,159,766,316,103,45,335,356
75,Delaware State,19,3,16,.158,-23.65,-5.89,,1,11,,3,6,,0,10,,1345,1629,,765,468,1183,.396,152,492,.309,257,357,.720,205,678,216,123,69,321,405
76,Delaware,15,7,8,.467,-4.30,-4.16,,5,4,,6,3,,1,4,,1013,1012,,600,347,793,.438,107,321,.333,212,297,.714,131,526,188,69,54,215,262
77,Denver,21,2,19,.095,-17.15,-6.55,,1,13,,2,10,,0,9,,1466,1662,,850,519,1172,.443,141,403,.350,287,398,.721,156,636,251,120,54,311,431
78,DePaul,17,4,13,.235,4.14,9.49,,2,13,,2,8,,2,5,,1120,1211,,690,435,1043,.417,95,300,.317,155,229,.677,206,639,202,119,69,270,327
79,Detroit Mercy,22,12,10,.545,-2.30,-4.85,,10,6,,7,5,,5,5,,1683,1627,,885,598,1290,.464,225,575,.391,262,326,.804,197,719,315,150,54,253,313
80,Dixie State,21,8,13,.381,-14.84,-4.26,,4,10,,5,7,,3,6,,1461,1603,,840,514,1227,.419,128,418,.306,305,427,.714,200,740,321,143,43,320,439
81,Drake,29,25,4,.862,9.73,-1.45,,15,3,,14,1,,9,2,,2245,1875,,1170,868,1757,.494,204,552,.370,305,428,.713,300,1043,399,207,86,299,455
82,Drexel,18,11,7,.611,0.26,-4.25,,4,5,,3,2,,4,5,,1295,1214,,720,474,990,.479,128,354,.362,219,282,.777,159,606,277,87,43,231,281
83,Duke,22,11,11,.500,12.75,9.84,,9,9,,8,5,,3,6,,1668,1604,,890,634,1360,.466,180,524,.344,220,316,.696,244,775,354,180,102,285,380
84,Duquesne,18,9,9,.500,3.43,3.60,,7,7,,5,2,,2,5,,1205,1208,,720,438,1040,.421,115,385,.299,214,329,.650,205,654,241,121,80,240,310
85,East Carolina,18,8,10,.444,1.57,3.98,,2,10,,7,6,,1,4,,1207,1219,,725,424,1033,.410,106,343,.309,253,347,.729,179,622,286,109,58,233,306
86,East Tennessee State,25,13,12,.520,2.10,0.75,,8,7,,8,4,,3,5,,1736,1654,,1005,620,1416,.438,201,575,.350,295,423,.697,253,897,295,184,64,339,431
87,Eastern Illinois,27,9,18,.333,-12.07,-6.55,,6,14,,5,7,,4,11,,1874,2023,,1095,707,1623,.436,186,574,.324,274,417,.657,285,944,360,193,88,383,435
88,Eastern Kentucky,29,22,7,.759,-2.05,-7.61,,15,5,,10,2,,9,4,,2372,2137,,1180,871,1946,.448,279,778,.359,351,497,.706,306,1033,461,299,103,372,533
89,Eastern Michigan,18,6,12,.333,-12.98,0.02,,3,11,,5,4,,1,8,,1267,1362,,720,448,1077,.416,128,411,.311,243,326,.745,169,594,198,160,42,221,274
90,Eastern Washington,20,13,7,.650,2.22,-4.62,,12,3,,7,2,,6,5,,1586,1432,,800,564,1207,.467,175,485,.361,283,358,.791,154,705,305,99,58,225,349
91,Elon,18,10,8,.556,-4.36,-3.83,,4,7,,4,2,,3,6,,1193,1172,,720,424,1023,.414,150,454,.330,195,263,.741,159,626,199,98,38,213,347
92,Evansville,25,9,16,.360,-4.42,0.42,,7,11,,8,4,,1,10,,1619,1740,,1015,571,1299,.440,240,637,.377,237,330,.718,149,670,291,122,56,274,377
93,Fairfield,23,7,16,.304,-12.14,-5.70,,7,11,,4,8,,3,8,,1427,1575,,925,501,1249,.401,139,444,.313,286,413,.692,227,803,240,106,50,304,417
94,Fairleigh Dickinson,24,9,15,.375,-8.36,-4.65,,8,10,,4,6,,5,9,,1801,1890,,970,645,1432,.450,194,517,.375,317,445,.712,244,813,287,182,93,340,439
95,Florida A&M,19,8,11,.421,-11.52,-8.68,,7,5,,4,1,,4,10,,1239,1293,,760,471,1063,.443,92,286,.322,205,316,.649,195,670,246,122,49,321,337
96,Florida Atlantic,21,12,9,.571,-2.37,-5.60,,7,5,,7,1,,4,7,,1651,1392,,845,605,1297,.466,204,544,.375,237,364,.651,266,857,306,163,59,288,378
97,Florida Gulf Coast,18,10,8,.556,-9.38,-6.88,,4,4,,7,4,,2,2,,1292,1242,,720,483,1126,.429,146,499,.293,180,271,.664,206,700,246,134,77,265,280
98,Florida International,26,9,17,.346,-10.81,-2.86,,2,15,,7,8,,2,9,,1914,1985,,1055,690,1604,.430,273,816,.335,261,392,.666,252,847,388,219,105,380,463
99,Florida State,20,15,5,.750,18.60,9.05,,11,4,,12,1,,3,4,,1592,1401,,810,568,1204,.472,168,436,.385,288,391,.737,233,747,299,154,101,272,365
100,Florida,21,13,8,.619,15.70,10.89,,9,7,,6,3,,5,5,,1566,1465,,840,560,1192,.470,141,397,.355,305,405,.753,209,738,250,159,118,309,395
101,Fordham,14,2,12,.143,-10.44,4.35,,2,11,,2,5,,0,6,,725,932,,560,257,716,.359,79,294,.269,132,197,.670,95,415,153,87,28,187,221
102,Fresno State,22,11,11,.500,-3.45,0.45,,9,11,,7,5,,4,6,,1444,1469,,885,501,1186,.422,147,457,.322,295,441,.669,243,784,225,144,62,306,384
103,Furman,25,16,9,.640,6.57,-1.12,,10,5,,11,1,,5,7,,1990,1723,,1005,730,1499,.487,242,708,.342,288,398,.724,223,879,416,205,84,313,428
104,Gardner-Webb,26,11,15,.423,-3.15,-5.42,,10,10,,7,4,,4,11,,1837,1778,,1040,651,1465,.444,232,643,.361,303,439,.690,239,895,339,153,125,304,492
105,George Mason,22,13,9,.591,2.96,1.53,,8,6,,7,3,,3,4,,1569,1538,,905,578,1347,.429,160,487,.329,253,394,.642,254,834,287,159,93,282,353
106,George Washington,17,5,12,.294,-4.58,-0.41,,3,5,,3,6,,1,5,,1158,1229,,685,411,928,.443,102,315,.324,234,335,.699,136,582,194,107,46,233,247
107,Georgetown,21,9,12,.429,8.92,10.64,,7,9,,7,6,,2,6,,1505,1541,,845,529,1245,.425,179,489,.366,268,355,.755,244,839,284,122,86,332,345
108,Georgia Southern,26,13,13,.500,-9.54,-5.58,,7,9,,9,4,,4,8,,1860,1762,,1070,686,1536,.447,194,608,.319,294,463,.635,306,964,322,210,101,374,444
109,Georgia State,22,16,6,.727,-1.01,-3.91,,8,4,,9,1,,5,4,,1767,1599,,900,649,1386,.468,178,497,.358,291,425,.685,250,826,369,157,97,255,365
110,Georgia Tech,23,15,8,.652,14.03,8.42,,11,6,,11,3,,4,5,,1738,1609,,945,640,1347,.475,177,504,.351,281,385,.730,183,716,373,206,78,260,360
111,Georgia,25,14,11,.560,7.19,8.52,,7,11,,12,5,,2,6,,1944,1954,,1005,708,1543,.459,157,493,.318,371,538,.690,308,939,374,214,61,420,466
112,Gonzaga,25,25,0,1.000,26.60,3.08,,15,0,,12,0,,7,0,,2307,1719,,1000,859,1555,.552,178,494,.360,411,563,.730,242,950,462,212,72,309,422
113,Grambling,22,11,11,.500,-14.64,-13.02,,9,6,,6,4,,5,7,,1482,1507,,880,514,1202,.428,114,344,.331,340,509,.668,181,751,313,182,67,335,392
114,Grand Canyon,21,15,6,.714,2.08,-5.70,,9,3,,10,3,,5,1,,1583,1302,,840,592,1203,.492,140,428,.327,259,383,.676,215,831,348,101,61,278,364
115,Green Bay,25,8,17,.320,-9.01,-4.09,,8,12,,6,6,,2,11,,1790,1913,,1030,656,1507,.435,170,511,.333,308,411,.749,228,817,352,138,90,269,405
116,Hampton,25,11,14,.440,-12.99,-8.59,,9,9,,5,7,,6,7,,1721,1831,,1000,619,1437,.431,185,557,.332,298,411,.725,196,844,292,152,149,318,426
117,Hartford,22,14,8,.636,-3.32,-5.42,,8,6,,9,1,,5,6,,1451,1405,,880,523,1196,.437,171,514,.333,234,333,.703,180,726,246,152,43,282,356
118,Harvard,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
119,Hawaii,20,11,9,.550,-4.13,-4.40,,9,9,,7,5,,4,4,,1451,1390,,815,515,1156,.446,159,436,.365,262,364,.720,210,721,236,115,30,277,338
