,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
237,Oklahoma,23,14,9,.609,14.34,8.30,,9,8,,10,3,,4,6,,1728,1589,,69.1,106.9,.291,.393,.537,49.8,49.6,10.5,8.9,.504,13.2,27.6,.216
238,Old Dominion,22,15,7,.682,-0.83,-0.88,,11,5,,9,1,,6,6,,1516,1495,,68.6,99.9,.322,.303,.524,51.6,48.7,11.0,11.4,.493,16.2,28.1,.222
239,Oral Roberts,25,15,10,.600,-0.68,-2.45,,10,5,,8,3,,5,7,,2051,1898,,73.7,111.2,.273,.466,.584,47.5,44.5,8.8,9.5,.547,14.2,24.0,.225
240,Oregon State,26,14,12,.538,6.25,7.09,,10,10,,10,6,,4,6,,1821,1770,,66.3,105.1,.333,.345,.533,50.3,60.1,9.2,10.4,.491,14.6,30.0,.253
241,Oregon,24,19,5,.792,14.01,6.76,,14,4,,11,2,,7,2,,1779,1605,,67.8,109.3,.266,.380,.565,51.1,48.5,10.9,10.6,.541,15.0,29.0,.189
242,Pacific,18,9,9,.500,1.66,4.25,,6,7,,6,2,,3,6,,1256,1272,,69.1,99.0,.276,.285,.508,51.7,48.6,9.1,10.3,.481,14.8,28.9,.188
243,Penn State,23,10,13,.435,14.94,15.54,,7,12,,7,5,,3,8,,1670,1684,,69.8,103.0,.272,.420,.512,51.1,51.5,11.3,6.7,.479,13.8,31.5,.199
244,Pennsylvania,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
245,Pepperdine,24,12,12,.500,3.78,5.23,,7,6,,7,5,,3,5,,1830,1790,,72.3,103.4,.326,.366,.556,49.1,58.6,8.5,7.7,.515,16.2,23.6,.254
246,Pittsburgh,21,10,11,.476,9.42,8.04,,6,10,,7,6,,3,5,,1493,1464,,68.5,103.8,.376,.329,.518,53.8,59.4,9.0,10.7,.484,15.4,34.6,.253
247,Portland State,21,9,12,.429,-6.56,-5.44,,6,8,,7,6,,2,6,,1446,1386,,70.4,97.2,.321,.381,.490,52.3,46.8,11.6,9.1,.458,16.3,32.5,.214
248,Portland,21,6,15,.286,-13.93,3.74,,0,11,,5,8,,1,6,,1459,1748,,73.0,94.6,.359,.380,.525,42.4,51.2,8.6,7.9,.476,17.4,18.7,.278
249,Prairie View,18,14,4,.778,-7.41,-14.52,,13,0,,8,0,,5,3,,1270,1142,,70.6,100.0,.268,.361,.529,49.3,62.7,14.3,12.9,.508,17.6,30.3,.179
250,Presbyterian,22,7,15,.318,-13.28,-8.32,,5,12,,5,6,,2,9,,1411,1476,,66.8,95.5,.347,.349,.505,51.2,47.1,10.4,6.9,.470,19.3,32.3,.238
251,Princeton,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
252,Providence,25,13,12,.520,10.65,10.21,,9,10,,8,3,,4,7,,1754,1743,,67.1,102.6,.308,.331,.520,49.8,53.4,8.2,7.9,.486,14.7,29.2,.219
253,Purdue,26,18,8,.692,17.83,12.49,,13,6,,11,1,,5,6,,1842,1703,,66.9,105.9,.317,.373,.546,54.8,55.9,7.8,10.8,.514,16.4,32.2,.229
254,Quinnipiac,21,9,12,.429,-7.36,-6.93,,7,10,,8,5,,1,5,,1437,1446,,72.1,93.3,.354,.413,.512,48.0,54.6,7.7,11.7,.475,17.7,21.2,.247
255,Radford,27,15,12,.556,-5.53,-5.93,,12,6,,9,5,,6,6,,1826,1745,,64.7,102.6,.396,.358,.546,55.9,46.7,9.2,5.3,.513,19.4,34.5,.270
256,Rhode Island,25,10,15,.400,6.22,5.86,,7,10,,6,3,,2,9,,1786,1777,,70.4,99.6,.389,.319,.525,52.3,47.7,9.1,12.2,.492,17.2,29.7,.260
257,Rice,25,13,12,.520,-4.30,-1.76,,6,10,,9,3,,3,9,,1875,1869,,73.1,102.6,.267,.486,.551,51.8,57.8,7.5,5.2,.524,18.2,28.0,.194
258,Richmond,21,13,8,.619,9.67,5.67,,6,5,,6,4,,5,3,,1574,1453,,70.1,106.9,.303,.364,.567,46.4,53.0,12.6,5.8,.538,13.8,19.8,.221
259,Rider,22,6,16,.273,-11.03,-4.94,,5,13,,1,8,,4,8,,1493,1627,,69.0,97.8,.287,.314,.516,49.6,50.4,7.2,6.1,.481,16.1,26.3,.211
260,Robert Morris,19,4,15,.211,-11.96,-4.30,,3,12,,3,6,,1,9,,1374,1494,,68.5,101.6,.256,.337,.524,47.5,57.7,9.2,8.1,.504,16.2,29.5,.168
261,Rutgers,24,14,10,.583,15.52,13.19,,10,10,,10,4,,4,6,,1690,1634,,68.6,102.2,.277,.329,.522,49.6,51.9,11.5,14.5,.505,14.3,27.7,.173
262,Sacramento State,19,8,11,.421,-8.27,-4.33,,5,9,,5,3,,3,8,,1360,1352,,66.1,106.2,.321,.321,.538,49.5,49.5,10.4,6.4,.511,13.6,27.8,.219
263,Sacred Heart,18,9,9,.500,-10.22,-5.49,,9,7,,4,3,,5,6,,1265,1350,,68.0,101.3,.336,.415,.522,48.9,55.9,7.0,5.1,.480,16.1,29.5,.249
264,Saint Francis (PA),22,6,16,.273,-8.40,-3.90,,5,13,,4,6,,2,10,,1515,1614,,69.7,97.7,.336,.329,.516,49.8,52.1,8.2,5.9,.478,17.5,28.8,.240
265,Saint Joseph's,20,5,15,.250,-3.42,7.03,,3,9,,3,3,,1,9,,1443,1652,,73.0,95.8,.267,.492,.517,44.9,56.7,8.0,4.5,.486,16.8,21.5,.194
266,Saint Louis,20,14,6,.700,13.10,2.75,,6,4,,12,1,,1,4,,1507,1300,,68.5,110.1,.305,.309,.546,56.8,63.1,10.3,9.7,.518,14.9,36.1,.214
267,Saint Mary's (CA),23,14,9,.609,7.66,5.88,,4,6,,9,3,,2,3,,1475,1434,,66.0,97.2,.277,.377,.510,52.0,44.8,9.4,8.0,.476,15.2,26.0,.202
268,Saint Peter's,23,13,10,.565,-4.23,-5.66,,10,8,,8,3,,4,7,,1458,1425,,68.9,92.0,.336,.345,.488,50.8,52.6,12.1,16.2,.449,18.8,30.2,.234
269,Sam Houston State,27,19,8,.704,-2.77,-4.47,,13,3,,12,1,,7,6,,2160,1899,,75.1,106.6,.321,.408,.552,49.4,54.6,11.4,8.7,.525,16.5,30.1,.222
270,Samford,19,6,13,.316,-8.40,-1.11,,2,9,,4,5,,2,7,,1460,1510,,75.0,100.4,.272,.397,.531,52.4,52.3,8.9,8.1,.506,18.3,30.4,.186
271,San Diego State,24,20,4,.833,15.11,1.98,,14,3,,13,2,,6,2,,1786,1442,,67.4,109.9,.340,.406,.562,53.5,54.8,12.2,10.0,.531,15.0,29.7,.245
272,San Diego,14,3,11,.214,-6.49,4.37,,2,7,,0,5,,3,5,,927,1079,,72.2,90.9,.256,.319,.488,46.2,52.6,9.2,8.5,.464,16.3,20.9,.166
273,San Francisco,25,11,14,.440,5.03,2.87,,4,9,,3,5,,4,6,,1786,1732,,69.5,102.8,.215,.502,.535,48.7,45.6,10.3,8.4,.513,14.9,24.9,.154
274,San Jose State,20,5,15,.250,-16.61,1.28,,2,12,,4,6,,0,8,,1301,1599,,72.2,90.1,.291,.398,.480,43.2,42.6,6.7,7.1,.453,15.8,20.6,.187
275,Santa Clara,20,12,8,.600,-1.11,1.10,,4,5,,6,3,,4,3,,1393,1412,,72.1,96.6,.406,.320,.521,50.2,49.4,6.1,10.1,.483,16.3,23.2,.277
276,Seattle,21,11,10,.524,-6.37,-5.43,,4,5,,6,3,,3,6,,1547,1431,,70.6,103.7,.294,.417,.520,47.7,46.0,9.2,10.4,.484,13.2,27.7,.218
277,Seton Hall,25,13,12,.520,12.20,10.48,,10,9,,7,4,,6,7,,1789,1746,,67.8,104.4,.358,.376,.545,49.8,52.2,9.4,11.1,.505,16.4,29.3,.264
278,Siena,16,12,4,.750,-2.98,-8.04,,12,4,,6,2,,6,2,,1097,1016,,66.4,103.3,.372,.351,.547,52.3,52.9,8.3,8.1,.519,16.8,28.7,.249
279,South Alabama,28,17,11,.607,-5.45,-5.28,,10,7,,10,5,,6,5,,2075,1985,,68.4,106.9,.334,.436,.552,48.4,43.9,10.3,11.0,.520,15.1,27.2,.240
280,South Carolina State,18,1,17,.056,-23.87,-6.54,,1,7,,1,6,,0,11,,1102,1414,,72.5,84.4,.276,.376,.472,44.6,44.4,8.1,7.6,.448,21.1,25.8,.171
281,South Carolina Upstate,23,5,18,.217,-13.01,-4.51,,5,11,,3,8,,2,10,,1515,1712,,68.9,95.6,.293,.400,.524,46.5,51.3,9.0,7.1,.491,18.4,23.7,.211
282,South Carolina,20,6,14,.300,4.55,10.65,,4,12,,3,6,,2,7,,1464,1586,,75.9,96.5,.275,.349,.496,48.9,49.5,11.3,10.2,.471,17.1,31.9,.179
283,South Dakota State,23,16,7,.696,2.76,-2.56,,9,3,,8,1,,4,2,,1850,1690,,71.9,111.9,.377,.348,.597,53.5,49.9,7.7,8.5,.568,15.4,24.4,.270
284,South Dakota,25,14,11,.560,-1.64,-3.89,,11,4,,7,2,,5,4,,1899,1805,,70.2,108.1,.325,.332,.572,50.5,51.8,6.5,6.9,.533,13.9,22.1,.254
285,South Florida,20,8,12,.400,-0.33,6.67,,4,10,,4,6,,3,4,,1309,1432,,68.3,95.3,.349,.330,.487,52.7,48.9,7.9,8.2,.456,17.7,33.7,.224
286,Southeast Missouri State,27,11,16,.407,-9.66,-6.99,,9,11,,7,6,,3,9,,1864,1936,,68.9,97.5,.405,.396,.532,51.6,59.4,9.7,6.7,.499,19.2,27.6,.272
287,Southeastern Louisiana,24,7,17,.292,-16.89,-7.31,,5,11,,3,4,,4,13,,1641,1871,,71.6,94.1,.420,.402,.498,48.8,44.3,9.0,7.3,.457,19.0,31.2,.281
288,Southern California,27,21,6,.778,17.67,7.45,,15,5,,13,2,,7,3,,2007,1731,,67.8,108.5,.369,.312,.542,55.6,51.1,7.2,13.5,.518,15.5,36.6,.237
289,SIU Edwardsville,26,9,17,.346,-14.37,-5.45,,7,12,,2,8,,6,7,,1709,1897,,69.8,94.2,.330,.349,.527,48.4,54.4,8.4,13.1,.497,20.3,26.5,.225
290,Southern Illinois,26,12,14,.462,-3.23,1.05,,5,13,,8,5,,3,8,,1704,1770,,65.8,98.7,.294,.411,.549,46.5,57.3,9.3,5.6,.528,16.7,17.0,.195
291,Southern Methodist,15,11,4,.733,12.05,4.38,,7,4,,6,2,,5,2,,1114,999,,70.4,105.4,.308,.369,.553,51.7,57.2,8.7,12.8,.520,17.1,29.9,.228
292,Southern Mississippi,24,8,16,.333,-6.54,-1.95,,4,13,,6,7,,2,9,,1553,1607,,68.5,94.0,.287,.304,.511,50.9,49.1,8.5,6.5,.484,18.1,24.6,.194
293,Southern Utah,22,19,3,.864,0.22,-6.55,,12,2,,14,0,,5,3,,1853,1506,,73.0,115.5,.377,.431,.585,56.4,49.4,9.7,7.1,.551,14.6,32.5,.278
294,Southern,18,8,10,.444,-12.96,-12.80,,8,6,,5,2,,3,7,,1260,1263,,73.2,94.3,.397,.295,.519,51.5,57.9,10.7,6.9,.483,19.2,27.5,.267
295,St. Bonaventure,19,15,4,.789,14.94,4.73,,11,4,,8,1,,4,3,,1336,1142,,65.0,108.2,.276,.319,.537,52.9,57.3,9.5,12.5,.507,14.5,33.6,.201
296,St. Francis (NY),19,9,10,.474,-8.22,-6.38,,9,9,,4,6,,5,4,,1476,1511,,73.6,104.9,.307,.293,.530,49.4,50.0,10.9,8.9,.495,14.1,30.2,.226
297,St. John's (NY),26,16,10,.615,10.73,8.11,,10,9,,11,3,,4,6,,2063,1995,,74.3,105.7,.287,.333,.543,48.9,57.0,12.2,10.5,.510,14.9,29.2,.215
298,Stanford,26,14,12,.538,9.09,8.24,,10,10,,5,4,,6,6,,1825,1803,,69.8,98.6,.366,.310,.552,50.3,49.1,9.9,9.6,.517,19.2,25.4,.262
299,Stephen F. Austin,21,16,5,.762,-1.63,-8.47,,13,3,,10,1,,6,4,,1686,1484,,72.7,109.1,.421,.249,.588,55.4,53.2,12.9,10.0,.562,19.5,36.8,.286
300,Stetson,25,11,14,.440,-7.28,-4.46,,7,9,,7,5,,3,8,,1800,1767,,68.7,104.3,.273,.423,.542,50.8,54.7,10.3,7.7,.517,16.6,29.3,.190
301,Stony Brook,23,9,14,.391,-5.20,-3.79,,7,9,,5,5,,4,8,,1522,1509,,67.7,96.6,.329,.359,.499,51.7,51.2,8.2,14.5,.465,17.3,30.8,.225
302,Syracuse,23,15,8,.652,13.20,8.42,,9,7,,13,1,,2,7,,1738,1628,,70.3,106.9,.289,.389,.539,48.6,56.1,12.7,14.3,.500,13.9,29.7,.227
303,Tarleton State,20,10,10,.500,-8.07,-3.80,,5,7,,6,3,,4,7,,1467,1246,,69.2,106.1,.365,.258,.554,48.7,55.5,15.1,10.0,.518,14.8,26.0,.263
304,Temple,15,5,10,.333,3.33,6.40,,4,10,,3,5,,2,5,,982,1028,,67.9,96.4,.393,.395,.513,49.6,61.1,6.3,5.8,.468,17.5,26.5,.280
305,Tennessee-Martin,24,8,16,.333,-18.85,-5.33,,6,14,,6,7,,2,9,,1571,1847,,68.7,94.2,.294,.355,.495,46.7,52.0,10.3,8.0,.458,17.8,29.2,.211
306,Tennessee State,23,4,19,.174,-13.48,-6.62,,3,17,,4,8,,0,11,,1573,1702,,72.5,93.4,.326,.358,.507,46.9,47.2,10.1,8.9,.475,18.5,25.5,.223
307,Tennessee Tech,27,5,22,.185,-13.45,-3.15,,5,15,,5,6,,0,16,,1797,2075,,70.2,94.4,.270,.427,.525,49.4,57.9,9.2,6.2,.501,20.1,26.6,.183
308,Tennessee,24,17,7,.708,18.13,8.38,,10,7,,13,3,,4,4,,1739,1505,,68.4,105.8,.358,.340,.542,51.7,58.7,10.5,13.4,.501,15.4,31.4,.267
309,Texas A&M-Corpus Christi,24,5,19,.208,-16.69,-6.02,,2,13,,4,8,,1,10,,1554,1716,,71.3,90.8,.357,.358,.513,48.4,56.8,9.6,8.1,.477,20.9,24.6,.245
310,Texas A&M,17,8,9,.471,3.02,5.20,,2,8,,6,4,,2,4,,1089,1126,,66.0,97.1,.351,.407,.519,50.9,53.7,10.7,6.6,.477,19.4,32.3,.257
311,Texas-Arlington,26,13,13,.500,-6.90,-4.25,,9,8,,9,4,,3,8,,1916,1827,,71.6,102.5,.268,.397,.513,48.9,52.1,11.4,12.2,.479,14.3,29.3,.197
312,Texas Christian,25,12,13,.480,3.93,7.65,,5,11,,6,7,,3,6,,1688,1781,,67.7,99.3,.328,.363,.531,50.3,54.5,8.8,9.2,.503,18.1,28.8,.222
313,Texas-El Paso,23,12,11,.522,1.49,1.39,,8,8,,10,2,,2,9,,1628,1568,,69.6,101.2,.285,.369,.523,49.6,47.8,9.0,7.5,.487,14.0,24.2,.213
314,Texas-Rio Grande Valley,18,9,9,.500,-9.47,-5.90,,2,5,,8,3,,1,6,,1315,1210,,74.8,97.7,.396,.371,.498,50.0,60.9,12.3,11.2,.465,16.9,33.2,.253
315,Texas-San Antonio,24,14,10,.583,-1.33,-0.33,,9,7,,12,2,,2,8,,1911,1764,,73.7,108.0,.242,.365,.541,51.4,49.3,8.7,9.0,.512,13.9,30.2,.184
316,Texas Southern,21,13,8,.619,-8.56,-10.31,,10,3,,8,2,,5,6,,1553,1475,,74.6,99.2,.375,.270,.521,53.7,46.0,9.8,12.7,.483,18.2,32.3,.261
317,Texas State,25,18,7,.720,-3.66,-7.18,,12,3,,8,3,,9,3,,1660,1543,,64.6,101.2,.274,.269,.540,52.4,52.6,10.4,9.6,.514,17.8,29.8,.194
318,Texas Tech,26,17,9,.654,16.72,6.68,,9,8,,11,4,,5,4,,1906,1645,,67.1,108.2,.395,.314,.539,51.7,50.9,10.4,12.8,.499,13.8,33.3,.282
319,Texas,24,17,7,.708,16.22,9.52,,11,6,,8,5,,6,2,,1798,1637,,69.5,106.1,.336,.421,.556,52.8,50.2,9.1,9.8,.527,17.1,30.4,.236
320,Toledo,27,20,7,.741,8.53,-1.43,,15,4,,12,1,,7,5,,2196,1927,,70.3,114.7,.280,.451,.578,50.4,57.4,8.6,6.4,.545,13.5,29.2,.219
321,Towson,18,4,14,.222,-8.97,-1.47,,3,9,,4,4,,0,6,,1214,1349,,66.8,99.5,.334,.295,.497,51.5,39.2,7.4,7.9,.454,15.5,34.1,.243
322,Troy,28,11,17,.393,-11.42,-3.42,,4,12,,7,4,,2,11,,1829,1942,,70.2,92.7,.348,.388,.492,51.2,50.3,8.9,8.7,.452,18.3,28.8,.242
323,Tulane,21,9,12,.429,0.98,2.93,,4,12,,6,6,,3,6,,1341,1382,,68.1,93.7,.366,.403,.493,46.3,54.8,11.0,9.4,.441,15.3,23.2,.276
324,Tulsa,22,11,11,.500,5.06,6.01,,7,9,,7,5,,4,4,,1503,1432,,68.0,100.5,.336,.395,.542,48.8,57.0,9.5,6.2,.515,17.6,26.4,.227
325,UCLA,25,17,8,.680,12.93,8.25,,13,6,,11,1,,5,6,,1815,1698,,65.4,108.2,.321,.317,.554,53.0,52.5,7.6,7.7,.523,14.4,29.6,.231
326,Utah State,25,18,7,.720,11.01,0.14,,13,4,,10,2,,5,3,,1859,1572,,70.1,106.1,.305,.320,.538,57.6,60.4,10.2,14.4,.507,16.6,35.5,.219
327,Utah Valley,21,11,10,.524,-3.57,-2.52,,9,4,,8,4,,3,6,,1570,1557,,72.1,103.0,.417,.264,.551,54.6,63.7,7.2,11.7,.530,18.2,31.1,.260
328,Utah,23,11,12,.478,9.75,7.10,,8,11,,8,5,,3,7,,1620,1559,,67.4,104.5,.270,.342,.560,48.0,59.3,8.3,9.6,.525,16.9,24.4,.214
329,Valparaiso,28,10,18,.357,-3.63,1.71,,7,11,,6,6,,4,11,,1821,1902,,68.3,94.4,.272,.403,.512,47.1,53.9,9.5,9.4,.479,16.3,20.1,.198
330,Vanderbilt,23,8,15,.348,6.57,7.44,,3,13,,6,7,,2,8,,1652,1672,,69.9,102.7,.330,.462,.548,49.6,51.7,10.1,6.9,.515,17.7,28.3,.238
331,Vermont,15,10,5,.667,2.88,-6.72,,10,4,,6,3,,4,2,,1095,951,,66.4,108.1,.330,.407,.572,52.9,55.1,7.4,8.0,.533,16.0,26.6,.257
332,Villanova,21,16,5,.762,18.50,9.65,,11,4,,9,0,,4,4,,1591,1405,,66.4,113.5,.296,.442,.564,51.4,58.0,8.1,4.6,.529,12.0,28.1,.229
333,Virginia Commonwealth,25,19,6,.760,12.57,5.41,,10,4,,12,2,,5,3,,1799,1620,,70.6,101.4,.339,.350,.551,49.9,53.1,13.3,15.1,.511,18.5,28.6,.258
334,VMI,25,13,12,.520,0.26,-0.10,,7,7,,11,1,,1,10,,2001,1897,,72.3,109.5,.272,.469,.584,51.3,55.7,7.3,8.0,.554,15.5,23.4,.210
335,Virginia Tech,20,15,5,.750,14.09,6.74,,9,4,,10,2,,3,3,,1442,1295,,66.2,107.5,.336,.416,.554,52.9,56.3,6.9,12.2,.524,15.2,28.9,.236
336,Virginia,23,17,6,.739,16.98,8.59,,13,4,,10,1,,6,3,,1575,1382,,60.8,112.1,.220,.413,.589,52.1,54.5,8.0,12.7,.561,13.8,22.6,.178
337,Wagner,20,13,7,.650,-3.36,-5.91,,13,5,,7,3,,6,4,,1425,1374,,66.8,104.8,.280,.305,.522,52.5,48.4,10.8,8.2,.491,15.3,34.8,.201
338,Wake Forest,21,6,15,.286,2.78,9.28,,3,15,,5,6,,1,9,,1381,1503,,67.5,96.8,.299,.464,.524,48.7,50.2,9.3,6.4,.490,18.2,25.2,.217
339,Washington State,26,14,12,.538,6.14,4.71,,7,12,,11,5,,3,6,,1794,1757,,68.4,98.0,.356,.397,.518,52.2,52.5,8.7,9.2,.479,18.4,30.9,.253
340,Washington,25,5,20,.200,-0.47,9.53,,4,16,,4,7,,1,9,,1664,1914,,70.6,94.2,.266,.392,.512,44.1,43.9,8.4,8.9,.483,17.3,23.1,.187
341,Weber State,22,17,5,.773,2.89,-6.16,,12,3,,11,0,,6,5,,1806,1514,,72.5,113.2,.367,.381,.619,51.4,53.2,9.0,8.2,.583,15.9,22.0,.288
342,West Virginia,26,18,8,.692,16.05,10.55,,11,6,,8,5,,7,2,,2018,1875,,70.6,108.4,.405,.330,.531,52.1,52.9,10.2,7.6,.488,14.1,35.9,.290
343,Western Carolina,27,11,16,.407,-6.80,-1.40,,4,13,,6,5,,4,9,,2039,2129,,72.2,102.2,.333,.420,.558,49.6,50.1,6.7,7.4,.526,17.3,22.9,.242
344,Western Illinois,22,7,15,.318,-12.64,-4.78,,5,9,,2,5,,4,9,,1606,1746,,73.5,99.3,.358,.365,.504,51.1,40.9,7.2,7.9,.461,15.2,29.1,.256
345,Western Kentucky,24,18,6,.750,5.19,-0.14,,11,3,,11,2,,5,3,,1773,1645,,70.2,104.7,.359,.320,.556,55.5,51.0,9.4,12.1,.511,18.3,32.6,.281
346,Western Michigan,21,5,16,.238,-10.16,0.14,,4,12,,2,9,,3,7,,1325,1511,,68.3,92.4,.252,.370,.513,48.3,49.1,6.5,5.3,.494,19.1,23.6,.161
347,Wichita State,19,15,4,.789,10.35,7.41,,11,2,,10,2,,5,2,,1393,1289,,69.0,104.8,.378,.401,.516,49.5,53.1,8.4,9.2,.478,14.0,31.7,.261
348,William & Mary,17,7,10,.412,-10.28,-3.04,,4,6,,1,3,,5,6,,1101,1224,,67.2,95.7,.320,.361,.504,48.4,47.2,7.8,8.4,.461,17.5,28.6,.239
349,Winthrop,24,23,1,.958,5.25,-7.50,,17,1,,11,1,,10,0,,1909,1603,,72.8,109.3,.357,.393,.558,56.3,53.6,10.7,6.7,.530,16.6,35.5,.245
350,Wisconsin,27,16,11,.593,18.16,12.31,,10,10,,11,5,,5,6,,1887,1729,,65.8,105.2,.275,.411,.529,49.0,53.8,9.1,10.5,.493,11.7,23.8,.209
351,Wofford,24,15,9,.625,2.31,0.31,,12,5,,9,3,,6,4,,1784,1627,,67.6,109.4,.254,.504,.579,51.6,54.3,9.8,6.1,.560,16.6,27.7,.179
352,Wright State,24,18,6,.750,8.08,-6.47,,16,4,,9,4,,9,2,,1967,1618,,72.1,113.0,.345,.329,.574,56.2,52.0,8.1,8.4,.544,15.5,34.2,.250
353,Wyoming,23,13,10,.565,-2.60,-2.56,,5,9,,7,5,,4,5,,1738,1739,,70.1,106.7,.352,.490,.560,46.6,53.8,8.2,5.3,.529,14.6,23.4,.250
354,Xavier,20,13,7,.650,12.60,7.70,,6,7,,11,2,,2,5,,1502,1404,,70.4,106.1,.267,.389,.544,50.6,63.3,10.1,10.5,.520,14.1,26.3,.185
355,Yale,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
356,Youngstown State,27,15,12,.556,-8.61,-7.00,,9,11,,10,5,,5,7,,2010,1950,,69.1,106.2,.321,.362,.522,51.3,48.7,8.6,4.6,.484,13.9,33.6,.233